Title,Year Published,Rating,Length (Min)
Son of Flubber,1963,,100
Song of the South,1946,G,94
Sorcerers Apprentice,2010,PG,109
Space Buddies,2009,G,84
Spirited Away,2001,PG,125
Spooky Buddies,2011,G,88
Squanto: A Warrior's Tale,1994,PG,102
Star Struck,2010,NR,90
Stepsister From Planet Weird,2000,G,85
Story of Robin Hood and His Merrie Men The,1952,PG,84
Straight Story The,1999,G,112
Strongest Man in the World The,1975,G,92
Stuck in the Suburbs,2004,G,82
Suite Life Movie The,2011,NR,79
Summer Magic,1963,G,109
Super Buddies,2013,G,130
Superdad,1973,G,96
Swiss Family Robinson,1960,G,126
Sword and the Rose The,1953,NR,92
Sword in the Stone The,1963,G,79
Tale of Two Critters A,1977,G,48
Tall Tale,1995,PG,98
Tangled,2010,PG,100
Tarzan,1999,G,88
Teacher's Pet,2004,PG,74
Teen Beach Movie,2013,PG,110
Ten Who Dared,1960,NR,92
Tex,1982,PG,103
Third Man on the Mountain,1959,G,105
Thirteenth Year The,1999,G,95
Those Calloways,1965,NR,126
Three Caballeros The,1944,G,69
Three Lives of Thomasina The,1964,NR,97
Three Musketeers The,1993,PG,105
Three Musketeers The (Animated),2004,G,68
Tiger Cruise,2004,PG,88
Tiger Town,1983,NR,95
Tiger Walks A,1964,NR,91
Tigger & Pooh and a Musical Too,2009,NR,60
Tinker Bell,2008,G,70
Tinker Bell and the Great Fairy Rescue,2010,G,76
Tinker Bell and the Lost Treasure,2009,G,81
Tinker Bell: Secret of the Wings,2012,G,0
Toby Tyler,1960,G,96
Tom and Huck,1995,PG,97
Tomorrowland,2014,,0
Tonka,1958,NR,98
Tower of Terror,1997,UR,89
Toy Story,1995,G,85
Toy Story 2,1999,G,92
Toy Story 3,2010,G,103
Toy Story 4,2015,,0
Treasure Buddies,2012,G,92
Treasure Island,1950,PG,96
Treasure of Matecumbe,1976,G,117
Treasure Planet,2002,PG,95
Trenchcoat,1983,PG,91
Tron,1982,PG,96
TRON Legacy,2010,PG,127
Tru Confessions,2002,G,81
Tuck Everlasting,2002,PG,90
Twas the Night,2001,NR,84
Twitches,2005,PG,86
Twitches Too,2007,NR,83
Ugly Dachshund The,1966,NR,93
Ultimate Christmas Present The,2000,G,85
Under Wraps,1997,NR,95
Underdog,2007,PG,84
Unidentified Flying Oddball,1979,G,93
Up,2009,G,86
Up Up and Away,2000,G,90
Valiant,2005,G,76
Victory Through Air Power,1943,G,70
Wall E,2008,G,98
Watcher in the Woods The,1980,PG,84
Wendy Wu: Homecoming Warrior,2006,TV-PG,91
Westward Ho The Wagons!,1956,NR,90
Where the Toys Come From,1984,NR,58
Whispers: An Elephant's Tale,2000,G,72
White Fang,1991,PG,107
White Fang 2,1994,PG,106
Wild Country The,1970,G,100
Wild Hearts Can't Be Broken,1991,G,88
Wild The,2006,G,94
Winnie the Pooh,2011,G,63
Winnie the Pooh: A Very Merry Christmas,2002,G,65
Winnie the Pooh: Springtime with Roo,2004,G,65
Wizards of Waverly Place: The Movie,2009,G,98
Wonderful Ice Cream Suit The,1998,PG,77
World's Greatest Athlete The,1973,G,93
Wreck-It Ralph,2012,PG,108
You Lucky Dog,1998,G,89
You Wish!,2003,NR,100
Young Black Stallion The,2003,G,45
Zenon: Girl of the 21st Century,1999,G,97
Zenon: The Zequel,2001,G,100
Zenon: Z3,2004,G,81
Zootopia,2016,,0
